word,frequency
Hence,9
hemp,9
heading,9
Hast,9
growing,9
grounds,9
Go,9
gently,9
gaining,9
fury,9
furnish,9
frozen,9
fowls,9
fowl,9
forgotten,9
forge,9
FOLIO,9
flung,9
flood,9
float,9
flight,9
finds,9
fetch,9
fare,9
extremity,9
exact,9
everlasting,9
Etexts,9
enter,9
easily,9
ease,9
Dye,9
driving,9
downward,9
dollars,9
dish,9
discovered,9
directions,9
detached,9
destroyed,9
despair,9
descending,9
depth,9
delight,9
dear,9
daylight,9
dawn,9
crowd,9
crotch,9
covered,9
courage,9
contrasting,9
consternation,9
considerably,9
confidential,9
compasses,9
comfortable,9
combined,9
coils,9
clumsy,9
cherish,9
cask,9
cannibals,9
Can,9
brains,9
box,9
bowed,9
borne,9
bodies,9
blast,9
belly,9
beget,9
ball,9
Away,9
author,9
attention,9
attend,9
attempt,9
approaching,9
apparition,9
apparently,9
anybody,9
anxious,9
anon,9
angels,9
alike,9
AHAB,9
Again,9
afford,9
activity,9
action,9
accursed,9
accounts,9
accounted,9
able,9
yours,8
Your,8
yon,8
wrecked,8
wrapped,8
wouldnt,8
worthy,8
worked,8
withdrawing,8
wigwam,8
Wherefore,8
WHALING,8
whalemans,8
whaleline,8
whaleboats,8
weapons,8
weapon,8
war,8
wants,8
wanted,8
walk,8
vitality,8
vial,8
vertebrae,8
until,8
unnatural,8
universal,8
transparent,8
towed,8
tooth,8
tongs,8
tomorrow,8
timid,8
throne,8
th,8
tattooed,8
tambourine,8
taffrail,8
tackle,8
swings,8
swims,8
swept,8
swallow,8
surrounded,8
submerged,8
sublime,8
structure,8
strove,8
street,8
storms,8
stopped,8
Stop,8
steered,8
starting,8
stark,8
stage,8
squares,8
spinal,8
spilled,8
specific,8
specially,8
Spanish,8
spade,8
sounded,8
solemnly,8
snowy,8
snatching,8
snapped,8
slipped,8
slight,8
slide,8
sleepers,8
shrouds,8
shoal,8
shirt,8
sheets,8
seventy,8
settle,8
serene,8
self,8
seize,8
seeming,8
Sebastian,8
seasons,8
Scoresby,8
school,8
scarcely,8
salt,8
runs,8
rumors,8
rowing,8
rod,8
rocking,8
rich,8
revolving,8
respects,8
requires,8
reasonable,8
ranged,8
raise,8
quit,8
Quick,8
pure,8
published,8
proud,8
property,8
proceeds,8
principle,8
pride,8
pressed,8
popularly,8
popular,8
Poor,8
phantoms,8
perpendicularly,8
perched,8
perceive,8
peep,8
parted,8
Our,8
ought,8
ordered,8
operation,8
offer,8
Ocean,8
observing,8
obliquely,8
obey,8
obedience,8
note,8
nine,8
needle,8
narrative,8
muffled,8
move,8
mountains,8
motionless,8
moonlight,8
moon,8
monkey,8
miserable,8
milk,8
melancholy,8
mechanically,8
measureless,8
Mayhew,8
May,8
match,8
masses,8
marvels,8
lurks,8
lurked,8
lowly,8
lone,8
Life,8
learn,8
layer,8
lashing,8
largely,8
lady,8
knees,8
keeps,8
keels,8
judgment,8
Jove,8
Joppa,8
joke,8
join,8
jackknife,8
issued,8
isle,8
interesting,8
intention,8
intensity,8
inscrutable,8
infinite,8
infernal,8
hurry,8
hunting,8
hunter,8
hundreds,8
houses,8
hopeless,8
homage,8
hoist,8
historical,8
highest,8
High,8
hey,8
Heidelburgh,8
hearty,8
headed,8
Have,8
hauled,8
hate,8
hatches,8
harem,8
hardy,8
harbor,8
happen,8
hammered,8
Halloa,8
gunwales,8
